city_town,county,2017_population
Barrington,Bristol,16218
Bristol,Bristol,22318
Warren,Bristol,10492
Coventry,Kent,34873
East Greenwich,Kent,13094
Warwick,Kent,81218
West Greenwich,Kent,6118
West Warwick,Kent,28709
Jamestown,Newport,5505
Little Compton,Newport,3521
Middletown,Newport,16100
Newport,Newport,24745
Portsmouth,Newport,17463
Tiverton,Newport,15870
Burrillville,Providence,16363
Central Falls,Providence,19395
Cranston,Providence,80979
Cumberland,Providence,34498
East Providence,Providence,47425
Foster,Providence,4689
Glocester,Providence,9993
Johnston,Providence,29159
Lincoln,Providence,21630
North Providence,Providence,32345
North Smithfield,Providence,12301
Pawtucket,Providence,71770
Providence,Providence,179509
Scituate,Providence,10529
Smithfield,Providence,21611
Woonsocket,Providence,41508
Charlestown,Washington,7762
Exeter,Washington,6761
Hopkinton,Washington,8112
Narragansett,Washington,15601
New Shoreham,Washington,830
North Kingstown,Washington,26178
Richmond,Washington,7608
South Kingstown,Washington,30712
Westerly,Washington,22626
