week_ending,total_number_of_occupied_beds,number_of_all_beds,total_reporting,percent_occupied
2020-05-24,5943.0,7817.0,76,0.7602660867340412
2020-05-31,5958.0,8075.0,76,0.7378328173374613
2020-06-07,5951.0,8134.0,76,0.7316203589869683
2020-06-14,5932.0,8134.0,76,0.7292844848782887
2020-06-21,5930.0,8134.0,76,0.7290386033931645
2020-06-28,5931.0,8134.0,76,0.7291615441357265
2020-07-05,5926.0,8134.0,76,0.7285468404229162
2020-07-12,5850.0,8134.0,76,0.7192033439881977
2020-07-19,5906.0,8134.0,76,0.7260880255716744
2020-07-26,5933.0,8134.0,76,0.7294074256208507
2020-08-02,5934.0,8134.0,76,0.7295303663634128
2020-08-09,5984.0,8134.0,76,0.7356774034915171
2020-08-16,5978.0,8134.0,76,0.7349397590361446
2020-08-23,6002.0,8077.0,75,0.7430976847839544
2020-08-30,6011.0,8077.0,75,0.7442119598860963
2020-09-06,6002.0,8077.0,75,0.7430976847839544
2020-09-13,6016.0,8077.0,75,0.7448310016095084
2020-09-20,6044.0,8077.0,75,0.7482976352606165
2020-09-27,6006.0,8077.0,75,0.7435929181626841
2020-10-04,6012.0,8077.0,75,0.7443357682307787
2020-10-11,5977.0,8077.0,75,0.7400024761668936
2020-10-18,5969.0,8077.0,75,0.7390120094094342
2020-10-25,5997.0,8077.0,75,0.7424786430605422
2020-11-01,5973.0,8077.0,75,0.7395072427881639
2020-11-08,5930.0,8077.0,75,0.7341834839668193
2020-11-15,5905.0,8077.0,75,0.7310882753497586
2020-11-22,7057.0,8077.0,75,0.8737154884239198
2020-11-29,5834.0,8077.0,75,0.7222978828773059
2020-12-06,5809.0,8089.0,75,0.7181357398936827
2020-12-13,5691.0,8077.0,75,0.7045932895877182
2020-12-20,5640.0,8077.0,75,0.6982790640089142
2020-12-27,5585.0,8089.0,75,0.690443812584992
2021-01-03,5624.0,8078.0,75,0.6962119336469423
2021-01-10,5631.0,8078.0,75,0.6970784847734588
2021-01-17,5626.0,8066.0,75,0.6974956607984131
2021-01-24,5646.0,8066.0,75,0.6999752045623605
2021-01-31,5654.0,8078.0,75,0.6999257241891558
2021-02-07,5665.0,8078.0,75,0.7012874473879673
2021-02-14,5589.0,8078.0,75,0.6918791780143599
2021-02-21,5711.0,8078.0,75,0.7069819262193612
2021-02-28,5743.0,8078.0,75,0.7109433027977222
2021-03-07,5722.0,8078.0,75,0.7083436494181728
2021-03-14,5741.0,8078.0,75,0.7106957167615746
2021-03-21,5728.0,8037.0,74,0.7127037451785492
2021-03-28,5774.0,8037.0,74,0.7184272738584049
2021-04-04,5782.0,8037.0,74,0.7194226701505537
2021-04-11,5826.0,8037.0,74,0.7248973497573722
2021-04-18,5848.0,8037.0,74,0.7276346895607814
2021-04-25,5717.0,8037.0,74,0.7113350752768446
2021-05-02,5849.0,8037.0,74,0.7277591140973
2021-05-09,5852.0,8037.0,74,0.7281323877068558
2021-05-16,5871.0,8037.0,74,0.7304964539007093
2021-05-23,5875.0,8037.0,74,0.7309941520467836
2021-05-30,5940.0,8037.0,74,0.7390817469204927
2021-06-06,5993.0,8037.0,74,0.7456762473559786
2021-06-13,6025.0,8037.0,74,0.7496578325245739
2021-06-20,6033.0,8037.0,74,0.7506532288167227
2021-06-27,6080.0,7979.0,73,0.7620002506579772
2021-07-04,6114.0,7979.0,73,0.7662614362702093
2021-07-11,6117.0,7979.0,73,0.7666374232359945
2021-07-18,6127.0,7979.0,73,0.7678907131219451
2021-07-25,6106.0,7979.0,73,0.7652588043614488
2021-08-01,6030.0,7851.0,73,0.7680550248376004
2021-08-08,5902.0,7742.0,72,0.7623353138723844
2021-08-15,5936.0,7799.0,72,0.7611232209257597
2021-08-22,5893.0,7799.0,72,0.7556096935504552
2021-08-29,6004.0,7927.0,72,0.7574113788318405
