date,u5_student_cases,u5_staff_cases,total_schools,%_schools_u5_student,%_schools_u5_staff,type,chng_u5_student_cases,chng_u5_staff_cases,chng_total_schools
2021-01-13,184,307,428,0.42990654205607476,0.7172897196261683,in person,0.0,0.0,0.0
2021-01-13,155,348,356,0.4353932584269663,0.9775280898876404,virtual,0.0,0.0,0.0
2021-01-20,176,302,432,0.4074074074074074,0.6990740740740741,in person,-8.0,-5.0,4.0
2021-01-20,149,361,370,0.4027027027027027,0.9756756756756757,virtual,-6.0,13.0,14.0
2021-01-27,166,291,437,0.37986270022883295,0.665903890160183,in person,-10.0,-11.0,5.0
2021-01-27,145,362,373,0.38873994638069703,0.9705093833780161,virtual,-4.0,1.0,3.0
2021-02-03,159,292,440,0.3613636363636364,0.6636363636363637,in person,-7.0,1.0,3.0
2021-02-03,147,365,376,0.39095744680851063,0.9707446808510638,virtual,2.0,3.0,3.0
2021-02-10,150,285,440,0.3409090909090909,0.6477272727272727,in person,-9.0,-7.0,0.0
2021-02-10,143,364,376,0.3803191489361702,0.9680851063829787,virtual,-4.0,-1.0,0.0
2021-02-17,152,285,444,0.34234234234234234,0.6418918918918919,in person,2.0,0.0,4.0
2021-02-17,142,365,377,0.376657824933687,0.9681697612732095,virtual,-1.0,1.0,1.0
2021-02-24,151,281,445,0.3393258426966292,0.6314606741573033,in person,-1.0,-4.0,1.0
2021-02-24,141,366,378,0.373015873015873,0.9682539682539683,virtual,-1.0,1.0,1.0
2021-03-03,148,278,446,0.33183856502242154,0.6233183856502242,in person,-3.0,-3.0,1.0
2021-03-03,139,365,378,0.36772486772486773,0.9656084656084656,virtual,-2.0,-1.0,0.0
2021-03-10,143,273,447,0.319910514541387,0.610738255033557,in person,-5.0,-5.0,1.0
2021-03-10,136,365,378,0.35978835978835977,0.9656084656084656,virtual,-3.0,0.0,0.0
2021-03-17,138,269,448,0.3080357142857143,0.6004464285714286,in person,-5.0,-4.0,1.0
2021-03-17,134,365,378,0.3544973544973545,0.9656084656084656,virtual,-2.0,0.0,0.0
2021-03-24,129,265,448,0.28794642857142855,0.5915178571428571,in person,-9.0,-4.0,0.0
2021-03-24,134,365,378,0.3544973544973545,0.9656084656084656,virtual,0.0,0.0,0.0
2021-03-31,125,263,449,0.27839643652561247,0.5857461024498887,in person,-4.0,-2.0,1.0
2021-03-31,135,367,380,0.35526315789473684,0.9657894736842105,virtual,1.0,2.0,2.0
2021-04-07,120,257,449,0.267260579064588,0.5723830734966593,in person,-5.0,-6.0,0.0
2021-04-07,137,370,383,0.3577023498694517,0.9660574412532638,virtual,2.0,3.0,3.0
